"sample_size","replicate","kl_divergence"
10,1,0.562964311558828
10,2,0.700062658531707
10,3,0.6430928571123
10,4,0.682973620364517
10,5,0.654716318522375
10,6,0.593248135481236
10,7,0.633632336624186
10,8,0.614800292212355
10,9,0.726704092689371
10,10,0.606742482241556
20,1,0.267095991978826
20,2,0.324020610285787
20,3,0.342933812034664
20,4,0.275098474042635
20,5,0.322976227789182
20,6,0.35647193192937
20,7,0.319984062198016
20,8,0.295466049094635
20,9,0.257125977502776
20,10,0.307327448193234
30,1,0.206313793156131
30,2,0.173135189523714
30,3,0.186522214237818
30,4,0.2272168698057
30,5,0.148264394683196
30,6,0.140215850009503
30,7,0.183335790317095
30,8,0.195384928618009
30,9,0.167057628679522
30,10,0.189375271136107
40,1,0.135776864455343
40,2,0.127373588543512
40,3,0.11866050497259
40,4,0.118805748364713
40,5,0.128494221558687
40,6,0.123554199523508
40,7,0.129317569157797
40,8,0.149303930602256
40,9,0.135079953665236
40,10,0.112127882914163
50,1,0.0916480342863912
50,2,0.107521967374642
50,3,0.10961334963316
50,4,0.0971820640491907
50,5,0.0758105268654937
50,6,0.0820457446261108
50,7,0.105766504396324
50,8,0.0895322433465138
50,9,0.0983950751934114
50,10,0.104575230625905
60,1,0.0793512552696266
60,2,0.0734241263227428
60,3,0.0664452595128968
60,4,0.0843150762727755
60,5,0.0854705415098506
60,6,0.0772095221966109
60,7,0.0843401392077885
60,8,0.0787886277175789
60,9,0.0722400836897262
60,10,0.0830242089287126
70,1,0.0628214587243085
70,2,0.0709036753717974
70,3,0.0658246047119147
70,4,0.0610137953401572
70,5,0.0593700999643174
70,6,0.060590294036311
70,7,0.0529308471998776
70,8,0.0597449328786119
70,9,0.0716016663861485
70,10,0.050891468478882
80,1,0.0522828886390534
80,2,0.0521284572927185
80,3,0.0545836225452924
80,4,0.0471205362539552
80,5,0.0518762613393382
80,6,0.0621086888999711
80,7,0.0567152432941418
80,8,0.0589456216348184
80,9,0.0571656208704147
80,10,0.062254125109278
90,1,0.0520211369881421
90,2,0.042966699810932
90,3,0.0576117198517051
90,4,0.0716737253824726
90,5,0.0360964076519231
90,6,0.0512229426182286
90,7,0.0520420258526927
90,8,0.0466017983024514
90,9,0.0470530114809852
90,10,0.0533969455495052
100,1,0.0420073204172788
100,2,0.0426239950615175
100,3,0.0435352404176506
100,4,0.0468726676567717
100,5,0.03504778373219
100,6,0.0472701406397744
100,7,0.040323555558703
100,8,0.0511186342951461
100,9,0.0410691858909511
100,10,0.0378025228547387
110,1,0.0396507622241735
110,2,0.0431886742687702
110,3,0.0410484217684604
110,4,0.0359417601902578
110,5,0.039996999441214
110,6,0.044669288119669
110,7,0.0416881694632603
110,8,0.0523729474860497
110,9,0.0341300115727902
110,10,0.0441563207499315
120,1,0.0393466983811811
120,2,0.0384477279186012
120,3,0.0363627098272126
120,4,0.0416206290541849
120,5,0.0364458457444677
120,6,0.0417156993157557
120,7,0.0418864177698775
120,8,0.0317325967290139
120,9,0.0376815969721827
120,10,0.0299460223653798
130,1,0.0250487915060591
130,2,0.0346309124306168
130,3,0.0340896983310738
130,4,0.0389112213007623
130,5,0.0365749056723633
130,6,0.0275544566692676
130,7,0.0342430691458209
130,8,0.0303686899816101
130,9,0.0328543750950587
130,10,0.0349530349882488
140,1,0.0325148895634819
140,2,0.0359323230234092
140,3,0.0293562899258355
140,4,0.0273365693587962
140,5,0.0329717108394776
140,6,0.032327985137588
140,7,0.0329827267380053
140,8,0.0356438771682491
140,9,0.0291422114427797
140,10,0.0325654214853892
150,1,0.0249680713820621
150,2,0.0274962577992014
150,3,0.0223823121591181
150,4,0.0323411061598531
150,5,0.0254614209919382
150,6,0.0324939103047262
150,7,0.0244687096262317
150,8,0.0367269105437361
150,9,0.0341651679904785
150,10,0.0254198813158498
160,1,0.0266504267280358
160,2,0.0268888367544946
160,3,0.0303577488476826
160,4,0.0267677051938298
160,5,0.0273213752239026
160,6,0.0264374783567102
160,7,0.0234104862758593
160,8,0.029395363265205
160,9,0.0277696509729501
160,10,0.0262311017760811
170,1,0.0322225133028682
170,2,0.0289768883779851
170,3,0.0256317973392319
170,4,0.0233514275053087
170,5,0.0273927179381248
170,6,0.0303811127607888
170,7,0.0250855515381441
170,8,0.0302305925285101
170,9,0.0256525319506958
170,10,0.0342677503658566
180,1,0.0266185803734363
180,2,0.0321299902663969
180,3,0.0261719232255668
180,4,0.0349111018831666
180,5,0.0259162699673564
180,6,0.0316741222344319
180,7,0.0276973940206047
180,8,0.0244921418885155
180,9,0.0293284355821563
180,10,0.0265113690767869
190,1,0.0236679639787109
190,2,0.0272058160519759
190,3,0.0257229274176593
190,4,0.0282722545759392
190,5,0.0287524137940236
190,6,0.030583248278698
190,7,0.0310698324133965
190,8,0.0222174015492453
190,9,0.0301189208377743
190,10,0.0278324238029928
200,1,0.0274595728463387
200,2,0.0252545193180294
200,3,0.0282569203034454
200,4,0.025477501275301
200,5,0.0236495080711415
200,6,0.0276517829812794
200,7,0.0189133708269123
200,8,0.0250661975684847
200,9,0.0220154140921559
200,10,0.0240035036722034
210,1,0.0190686976438506
210,2,0.0205501632920452
210,3,0.0209491266458517
210,4,0.0311106519920584
210,5,0.0253819425855874
210,6,0.0235426570459097
210,7,0.0258497128859993
210,8,0.0255842122513144
210,9,0.0215524142403517
210,10,0.0242746959408624
220,1,0.02444965786266
220,2,0.0245771388427374
220,3,0.0255494938790948
220,4,0.0213610221472074
220,5,0.0242400383548596
220,6,0.0249217767044176
220,7,0.0243242674553318
220,8,0.0247038316537978
220,9,0.0238034392410121
220,10,0.0259668059579763
230,1,0.0235164711771431
230,2,0.0237816466112569
230,3,0.0213028735931521
230,4,0.0225667491865625
230,5,0.0251765570020278
230,6,0.0222126557758326
230,7,0.0194659149733091
230,8,0.0252750707718963
230,9,0.019046384027475
230,10,0.0221594578823118
240,1,0.0228082191904889
240,2,0.0217692401398493
240,3,0.0187594794197151
240,4,0.0240642727044509
240,5,0.0229802130060127
240,6,0.0159251098787128
240,7,0.0234479753479955
240,8,0.0236426109191326
240,9,0.0254744660804326
240,10,0.0243084160134465
250,1,0.020754371142464
250,2,0.0163391541476233
250,3,0.0164149241510945
250,4,0.0241630764011141
250,5,0.0231913794552408
250,6,0.022977996803558
250,7,0.0235504395380907
250,8,0.020799675460571
250,9,0.0226840693525437
250,10,0.0214963573787628
260,1,0.0237042671321272
260,2,0.0204003966098648
260,3,0.0210043704185543
260,4,0.0225287633102496
260,5,0.0181616677320323
260,6,0.0196583605071498
260,7,0.0189094273525241
260,8,0.0196208714126438
260,9,0.0230880341596479
260,10,0.0190243881160028
270,1,0.0216376350647414
270,2,0.0199084497273431
270,3,0.021047399348182
270,4,0.0160315446969561
270,5,0.0176687811046482
270,6,0.019167515073323
270,7,0.0217172881027773
270,8,0.018459252893505
270,9,0.0202746151311858
270,10,0.0228857608136055
280,1,0.019142776427992
280,2,0.0201165835830146
280,3,0.0221058553796945
280,4,0.0144788111977017
280,5,0.020675500428672
280,6,0.0210204030512075
280,7,0.0208953329351381
280,8,0.0197819727985613
280,9,0.016868855512011
280,10,0.0199967116147981
290,1,0.0195244320671078
290,2,0.018972078622699
290,3,0.020058746423451
290,4,0.0151666307196726
290,5,0.0202439238770115
290,6,0.0215871820391401
290,7,0.0165248570845238
290,8,0.0196966527294179
290,9,0.0223034689807683
290,10,0.0219219223298954
300,1,0.0181412099144034
300,2,0.0172101446322677
300,3,0.0210791533119826
300,4,0.0228741229974331
300,5,0.018440787450883
300,6,0.0186604497990874
300,7,0.0193528525520816
300,8,0.0156319915232601
300,9,0.0210395769531992
300,10,0.0211701664977322
310,1,0.0216969355936293
310,2,0.0219558625253629
310,3,0.0194598182604456
310,4,0.0210720804657357
310,5,0.0158523877854508
310,6,0.0179956836715238
310,7,0.0198774306390262
310,8,0.0217470246562609
310,9,0.0224037569795677
310,10,0.0196222519516742
320,1,0.0169899933798777
320,2,0.0199758838651015
320,3,0.0200010957883338
320,4,0.0144022364785686
320,5,0.0162020389961942
320,6,0.0171478248666785
320,7,0.017003540910386
320,8,0.0183254078377604
320,9,0.0192137717241696
320,10,0.0165151921578739
330,1,0.0196327635976082
330,2,0.0182912264803506
330,3,0.0158390418488442
330,4,0.0197166169732063
330,5,0.0208921403674554
330,6,0.022458870190585
330,7,0.018487120420747
330,8,0.0174687698512697
330,9,0.0199424618836335
330,10,0.0178736029329035
340,1,0.0220329753787918
340,2,0.0203387841380963
340,3,0.0155712293849407
340,4,0.0183308928727272
340,5,0.0201203839222383
340,6,0.0180623747404281
340,7,0.0174273125247884
340,8,0.0190781476835636
340,9,0.0194164731019675
340,10,0.0226961819199972
350,1,0.0166672768181147
350,2,0.0213596860099547
350,3,0.0190759822461429
350,4,0.0174829515056134
350,5,0.0179648473340987
350,6,0.0186355424984349
350,7,0.0167275645970479
350,8,0.0146262302689136
350,9,0.0206359067483825
350,10,0.0193397719394587
360,1,0.0183262922802364
360,2,0.016666494539998
360,3,0.0160739408700992
360,4,0.0140408645149244
360,5,0.0153092089442511
360,6,0.0180520284032495
360,7,0.0161896358042489
360,8,0.0206547234681102
360,9,0.017263927396709
360,10,0.0180089722093765
370,1,0.017114406945016
370,2,0.018666580596822
370,3,0.0166643616716051
370,4,0.0177070599423491
370,5,0.0164327756448022
370,6,0.0184659852191983
370,7,0.0179993771453141
370,8,0.0159830479776956
370,9,0.0180266488773804
370,10,0.0204328082915375
380,1,0.0167867428284533
380,2,0.0157866458550802
380,3,0.0166016683272489
380,4,0.0171996031226401
380,5,0.0172885840148176
380,6,0.0149444095365223
380,7,0.0182709070262139
380,8,0.0184359930712112
380,9,0.0148721776233784
380,10,0.0152262126435805
390,1,0.0172592616748146
390,2,0.0178563104807992
390,3,0.0168676833220812
390,4,0.0162640329487339
390,5,0.0160240199334831
390,6,0.0171236987802033
390,7,0.0189262730955012
390,8,0.0162337053314791
390,9,0.0204145474988253
390,10,0.015130616903981
400,1,0.0179526357992464
400,2,0.0171568599824179
400,3,0.0160960704878648
400,4,0.0142263968084665
400,5,0.0161278188578462
400,6,0.0192210473208722
400,7,0.0151817282000221
400,8,0.0141684479271277
400,9,0.0170123433094734
400,10,0.0193055147056839
410,1,0.0230351399262908
410,2,0.0179068106902092
410,3,0.0150075751208461
410,4,0.0174902440750057
410,5,0.0203540609703524
410,6,0.018174711269622
410,7,0.0153693279144052
410,8,0.0134914213737274
410,9,0.0153281390738218
410,10,0.015068485432515
420,1,0.0161415068297466
420,2,0.0152308432927014
420,3,0.0165179331524161
420,4,0.016349839033353
420,5,0.0149629746610302
420,6,0.0138374644584072
420,7,0.0148804764477192
420,8,0.0162360482352984
420,9,0.0155061061314624
420,10,0.0175293866488925
430,1,0.0149468915833179
